Date,Open,High,Low,Close,Adj Close,Volume
4/20/2023,166.089996,167.869995,165.559998,166.649994,166.195389,52456400
4/21/2023,165.050003,166.449997,164.490005,165.020004,164.569839,58337300
4/24/2023,165,165.600006,163.889999,165.330002,164.878983,41949600
4/25/2023,165.190002,166.309998,163.729996,163.770004,163.323242,48714100
4/26/2023,163.059998,165.279999,162.800003,163.759995,163.313263,45498800
4/27/2023,165.190002,168.559998,165.190002,168.410004,167.950592,64902300
4/28/2023,168.490005,169.850006,167.880005,169.679993,169.217117,55209200
5/1/2023,169.279999,170.449997,168.639999,169.589996,169.127365,52472900
5/2/2023,170.089996,170.350006,167.539993,168.539993,168.080231,48425700
5/3/2023,169.5,170.919998,167.160004,167.449997,166.993195,65136000
5/4/2023,164.889999,167.039993,164.309998,165.789993,165.337723,81235400
5/5/2023,170.979996,174.300003,170.759995,173.570007,173.096512,113316400
5/8/2023,172.479996,173.850006,172.110001,173.5,173.026688,55962800
5/9/2023,173.050003,173.539993,171.600006,171.770004,171.301422,45326900
5/10/2023,173.020004,174.029999,171.899994,173.559998,173.086533,53724500
5/11/2023,173.850006,174.589996,172.169998,173.75,173.276016,49514700
5/12/2023,173.619995,174.059998,171,172.570007,172.33728,45497800
5/15/2023,173.160004,173.210007,171.470001,172.070007,171.837967,37266700
5/16/2023,171.990005,173.139999,171.800003,172.070007,171.837967,42110300
5/17/2023,171.710007,172.929993,170.419998,172.690002,172.457123,57951600
5/18/2023,173,175.240005,172.580002,175.050003,174.813934,65496700
5/19/2023,176.389999,176.389999,174.940002,175.160004,174.923798,55772400
5/22/2023,173.979996,174.710007,173.449997,174.199997,173.965073,43570900
5/23/2023,173.130005,173.380005,171.279999,171.559998,171.328644,50747300
5/24/2023,171.089996,172.419998,170.520004,171.839996,171.608261,45143500
5/25/2023,172.410004,173.899994,171.690002,172.990005,172.756714,56058300
5/26/2023,173.320007,175.770004,173.110001,175.429993,175.19342,54835000
5/30/2023,176.960007,178.990005,176.570007,177.300003,177.060898,55964400
5/31/2023,177.330002,179.350006,176.759995,177.25,177.010971,99625300
6/1/2023,177.699997,180.119995,176.929993,180.089996,179.847137,68901800
6/2/2023,181.029999,181.779999,179.259995,180.949997,180.705978,61945900
6/5/2023,182.630005,184.949997,178.039993,179.580002,179.33783,121946500
6/6/2023,179.970001,180.119995,177.429993,179.210007,178.968338,64848400
6/7/2023,178.440002,181.210007,177.320007,177.820007,177.5802,61944600
6/8/2023,177.899994,180.839996,177.460007,180.570007,180.326492,50214900
6/9/2023,181.5,182.229996,180.630005,180.960007,180.715973,48870700
6/12/2023,181.270004,183.889999,180.970001,183.789993,183.542145,54274900
6/13/2023,182.800003,184.149994,182.440002,183.309998,183.06279,54929100
6/14/2023,183.369995,184.389999,182.020004,183.949997,183.701935,57462900
6/15/2023,183.960007,186.520004,183.779999,186.009995,185.759155,65433200
6/16/2023,186.729996,186.990005,184.270004,184.919998,184.670624,101235600
6/20/2023,184.410004,186.100006,184.410004,185.009995,184.760498,49799100
6/21/2023,184.899994,185.410004,182.589996,183.960007,183.711929,49515700
6/22/2023,183.740005,187.050003,183.669998,187,186.747818,51245300
6/23/2023,185.550003,187.559998,185.009995,186.679993,186.428238,53079300
6/26/2023,186.830002,188.050003,185.229996,185.270004,185.020157,48088700
6/27/2023,185.889999,188.389999,185.669998,188.059998,187.806381,50730800
6/28/2023,187.929993,189.899994,187.600006,189.25,188.994781,51216800
6/29/2023,189.080002,190.070007,188.940002,189.589996,189.33432,46347300
6/30/2023,191.630005,194.479996,191.259995,193.970001,193.70842,85069600
7/3/2023,193.779999,193.880005,191.759995,192.460007,192.20047,31458200
7/5/2023,191.570007,192.979996,190.619995,191.330002,191.071976,46920300
7/6/2023,189.839996,192.020004,189.199997,191.809998,191.551331,45094300
7/7/2023,191.410004,192.669998,190.240005,190.679993,190.422852,46778000
7/10/2023,189.259995,189.990005,187.039993,188.610001,188.355652,59922200
7/11/2023,189.160004,189.300003,186.600006,188.080002,187.82637,46638100
7/12/2023,189.679993,191.699997,188.470001,189.770004,189.514084,60750200
7/13/2023,190.5,191.190002,189.779999,190.539993,190.283035,41342300
7/14/2023,190.229996,191.179993,189.630005,190.690002,190.432846,41573900
7/17/2023,191.899994,194.320007,191.809998,193.990005,193.728394,50520200
7/18/2023,193.350006,194.330002,192.419998,193.729996,193.468735,48353800
7/19/2023,193.100006,198.229996,192.649994,195.100006,194.836899,80507300
7/20/2023,195.089996,196.470001,192.5,193.130005,192.869553,59581200
7/21/2023,194.100006,194.970001,191.229996,191.940002,191.681168,71917800
7/24/2023,193.410004,194.910004,192.25,192.75,192.490067,45377800
7/25/2023,193.330002,194.440002,192.919998,193.619995,193.358887,37283200
7/26/2023,193.669998,195.639999,193.320007,194.5,194.237701,47471900
7/27/2023,196.020004,197.199997,192.550003,193.220001,192.959427,47460200
7/28/2023,194.669998,196.630005,194.139999,195.830002,195.565918,48291400
7/31/2023,196.059998,196.490005,195.259995,196.449997,196.185074,38824100
8/1/2023,196.240005,196.729996,195.279999,195.610001,195.346207,35175100
8/2/2023,195.039993,195.179993,191.850006,192.580002,192.320297,50389300
8/3/2023,191.570007,192.369995,190.690002,191.169998,190.912201,61235200
8/4/2023,185.520004,187.380005,181.919998,181.990005,181.744583,115799700
8/7/2023,182.130005,183.130005,177.350006,178.850006,178.60881,97576100
8/8/2023,179.690002,180.270004,177.580002,179.800003,179.557526,67823000
8/9/2023,180.869995,180.929993,177.009995,178.190002,177.949707,60378500
8/10/2023,179.479996,180.75,177.600006,177.970001,177.729996,54686900
8/11/2023,177.320007,178.619995,176.550003,177.789993,177.789993,51988100
8/14/2023,177.970001,179.690002,177.309998,179.460007,179.460007,43675600
8/15/2023,178.880005,179.479996,177.050003,177.449997,177.449997,43622600
8/16/2023,177.130005,178.539993,176.5,176.570007,176.570007,46964900
8/17/2023,177.139999,177.509995,173.479996,174,174,66062900
8/18/2023,172.300003,175.100006,171.960007,174.490005,174.490005,61114200
8/21/2023,175.070007,176.130005,173.740005,175.839996,175.839996,46311900
8/22/2023,177.059998,177.679993,176.25,177.229996,177.229996,42084200
8/23/2023,178.520004,181.550003,178.330002,181.119995,181.119995,52722800
8/24/2023,180.669998,181.100006,176.009995,176.380005,176.380005,54945800
8/25/2023,177.380005,179.149994,175.820007,178.610001,178.610001,51449600
8/28/2023,180.089996,180.589996,178.550003,180.190002,180.190002,43820700
8/29/2023,179.699997,184.899994,179.5,184.119995,184.119995,53003900
8/30/2023,184.940002,187.850006,184.740005,187.649994,187.649994,60813900
8/31/2023,187.839996,189.119995,187.479996,187.869995,187.869995,60794500
9/1/2023,189.490005,189.919998,188.279999,189.460007,189.460007,45732600
9/5/2023,188.279999,189.979996,187.610001,189.699997,189.699997,45280000
9/6/2023,188.399994,188.850006,181.470001,182.910004,182.910004,81650300
9/7/2023,175.179993,178.210007,173.539993,177.024994,177.024994,90238208
